T,sigma,H,Best Beta,Average Error
2.7,0.35,97,0.6510999999999945,0.0037790441343492813
2.7,0.35,98,0.6726999999999921,0.002875833206169159
2.7,0.35,99,0.6990999999999892,0.0043201179147714375
2.7,0.4,90,0.5891999999999903,0.000646103108855091
2.7,0.4,91,0.59189999999999,0.0006167487114504729
2.7,0.4,92,0.5978999999999893,0.002008872590763879
2.7,0.4,93,0.6048999999999886,0.0018707626219094638
2.7,0.4,94,0.6134999999999876,0.0003772113000281868
2.7,0.4,95,0.6256999999999863,0.002660449656625951
2.7,0.4,96,0.6409999999999846,0.00017392538504159118
2.7,0.4,97,0.6576999999999937,0.0005363858557201492
2.7,0.4,98,0.6773999999999916,0.0012582298914335576
2.7,0.4,99,0.7028999999999888,0.005335247157783238
2.7,0.45,90,0.5911999999999901,0.0007825476986707105
2.7,0.45,91,0.5971999999999894,0.001572468602750376
2.7,0.45,92,0.6042999999999886,0.0006012421552523666
2.7,0.45,93,0.6108999999999879,0.0020126984895984614
2.7,0.45,94,0.6216999999999867,0.0021480290670974913
2.7,0.45,95,0.6333999999999854,0.0031250652281263895
2.7,0.45,96,0.6484999999999838,0.0002480511688491359
2.7,0.45,97,0.664099999999993,0.0007846321948668139
2.7,0.45,98,0.6837999999999909,0.004751781380056523
2.7,0.45,99,0.7055999999999885,0.0019755960816033613
2.7,0.5,90,0.5966999999999895,0.0006071334763750728
2.7,0.5,91,0.6030999999999888,0.0006322034771634897
2.7,0.5,92,0.6083999999999882,0.0022082487525102576
2.7,0.5,93,0.6180999999999871,0.0010120352669415035
2.7,0.5,94,0.628399999999986,0.0019682120229413515
2.7,0.5,95,0.6414999999999845,0.0026249097439393337
2.7,0.5,96,0.6541999999999941,0.0005056058641210112
2.7,0.5,97,0.6699999999999924,0.002763994635291423
2.7,0.5,98,0.6887999999999903,0.003015432848644825
2.7,0.5,99,0.7078999999999882,0.002014661620187325
2.7,0.55,90,0.601299999999989,0.0013016269961125915
2.7,0.55,91,0.6052999999999885,0.0023052014262749483
2.7,0.55,92,0.6149999999999874,0.002393554029052799
2.7,0.55,93,0.6245999999999864,0.0002797070662604128
2.7,0.55,94,0.636899999999985,0.00327714601543745
2.7,0.55,95,0.6472999999999839,0.0007521336522327993
2.7,0.55,96,0.6598999999999935,0.0039016911353617124
2.7,0.55,97,0.673099999999992,0.002026937174831622
2.7,0.55,98,0.6909999999999901,0.0020555425146298496
2.7,0.55,99,0.7104999999999879,0.002469040700585583
2.7,0.6,90,0.6060999999999884,3.861195716461961e-05
2.7,0.6,91,0.6125999999999877,0.0026673269856538006
2.7,0.6,92,0.6210999999999868,0.001700472422903744
2.7,0.6,93,0.6312999999999857,0.001220680804105814
2.7,0.6,94,0.6421999999999844,0.0029000130787462833
2.7,0.6,95,0.6518999999999944,0.0010669201090094493
2.7,0.6,96,0.6634999999999931,0.0036393771573514895
2.7,0.6,97,0.6785999999999914,0.002033079288499865
2.7,0.6,98,0.6947999999999896,0.0033671804054711866
2.7,0.6,99,0.7118999999999878,0.0011586092319280723
2.8,0.2,90,0.5878999999999904,0.0002474451689029132
2.8,0.2,91,0.5884999999999904,0.00036991823219910457
2.8,0.2,92,0.5862999999999906,0.00010813969146221773
2.8,0.2,93,0.5866999999999906,0.0013231401700629574
2.8,0.2,94,0.5897999999999902,0.0010648357207775417
2.8,0.2,95,0.5927999999999899,0.0012156874957341796
2.8,0.2,96,0.6021999999999889,0.0016553336045514592
2.8,0.2,97,0.618599999999987,0.0012729858554181004
2.8,0.2,98,0.6437999999999843,0.0008600589163169491
2.8,0.2,99,0.6818999999999911,0.002098286774079488
2.8,0.25,90,0.5883999999999904,0.00041330532715600556
2.8,0.25,91,0.5886999999999903,0.0004939457496498692
2.8,0.25,92,0.5898999999999902,0.0003528739558068583
2.8,0.25,93,0.5903999999999902,0.0015788869811963794
2.8,0.25,94,0.5926999999999899,0.002083611776833573
2.8,0.25,95,0.6021999999999889,0.0019269090026384867
2.8,0.25,96,0.6134999999999876,0.0014244926609261067
2.8,0.25,97,0.6311999999999857,0.002326576949453518
2.8,0.25,98,0.6567999999999938,0.0003176340570079277
2.8,0.25,99,0.6897999999999902,0.0010623669400978818
2.8,0.3,90,0.5898999999999902,0.0007173177280660241
2.8,0.3,91,0.5891999999999903,0.0012272510363531054
2.8,0.3,92,0.5899999999999902,0.0002478912546291357
2.8,0.3,93,0.5942999999999897,0.0013174769197241705
2.8,0.3,94,0.601099999999989,0.001029489358510093
2.8,0.3,95,0.609499999999988,0.0026835775304113736
2.8,0.3,96,0.6236999999999865,0.0030007690395582095
2.8,0.3,97,0.6420999999999845,0.0036907324937551994
2.8,0.3,98,0.6665999999999928,0.003308457287817169
2.8,0.3,99,0.6959999999999895,0.004531909179011177
2.8,0.35,90,0.5894999999999903,0.0015490256076355164
2.8,0.35,91,0.5891999999999903,0.0014737581757464605
2.8,0.35,92,0.5933999999999898,0.0013906934305252807
2.8,0.35,93,0.5988999999999892,0.0012955377687357908
2.8,0.35,94,0.6072999999999883,0.0008713580177477534
2.8,0.35,95,0.6181999999999871,0.0014988692018636214
2.8,0.35,96,0.6328999999999855,0.001969005943519151
2.8,0.35,97,0.6520999999999944,0.0036802584855862666
2.8,0.35,98,0.673899999999992,0.004443808570658036
2.8,0.35,99,0.6997999999999891,0.0035311007179718783
2.8,0.4,90,0.5901999999999902,0.0020560649703976796
2.8,0.4,91,0.59209999999999,0.0021623113986628147
2.8,0.4,92,0.5984999999999893,0.0021743034315555715
2.8,0.4,93,0.6060999999999884,0.0023346522514822677
2.8,0.4,94,0.6145999999999875,1.9630085249949888e-05
2.8,0.4,95,0.6267999999999861,0.001150730357074087
2.8,0.4,96,0.6423999999999844,0.0001766814081966415
2.8,0.4,97,0.6586999999999936,0.002718679145757631
2.8,0.4,98,0.6782999999999915,0.0022349163653926033
2.8,0.4,99,0.7034999999999887,0.0016868583666326898
2.8,0.45,90,0.59209999999999,0.0017327865685954017
2.8,0.45,91,0.5975999999999894,0.001892196902632358
2.8,0.45,92,0.6042999999999886,0.0017494148196692998
2.8,0.45,93,0.6119999999999878,1.683920017379203e-05
2.8,0.45,94,0.6219999999999867,0.00010323510120995845
2.8,0.45,95,0.6344999999999853,0.0009521562935122524
2.8,0.45,96,0.6497999999999946,0.0015555019958722605
2.8,0.45,97,0.664599999999993,0.0014814627102262491
2.8,0.45,98,0.6846999999999908,0.001495988584806941
2.8,0.45,99,0.7060999999999884,0.0016447311973991953
2.8,0.5,90,0.5978999999999893,0.0005449962817859149
2.8,0.5,91,0.6027999999999888,0.001595524544745567
2.8,0.5,92,0.6091999999999881,0.00140634869003557
2.8,0.5,93,0.618999999999987,0.00050630977122178
2.8,0.5,94,0.6292999999999859,0.0028827519921903796
2.8,0.5,95,0.6428999999999844,0.0008442399198820697
2.8,0.5,96,0.6558999999999939,0.0034037568904877456
2.8,0.5,97,0.6705999999999923,0.0016316370575786302
2.8,0.5,98,0.6894999999999902,0.003428474707765513
2.8,0.5,99,0.7083999999999882,0.0034988570852038403
2.8,0.55,90,0.600999999999989,0.0008263731126299758
2.8,0.55,91,0.6063999999999884,0.0017641044980211897
2.8,0.55,92,0.6162999999999873,0.0012085138577733808
2.8,0.55,93,0.6258999999999862,0.0018844157870148872
2.8,0.55,94,0.6384999999999849,0.002195777765603694
2.8,0.55,95,0.6474999999999839,0.0037403465517153573
2.8,0.55,96,0.6601999999999935,0.0029016627736798057
2.8,0.55,97,0.673799999999992,0.001798987507605296
2.8,0.55,98,0.69119999999999,0.0004915777847096548
2.8,0.55,99,0.7106999999999879,0.0012234522241055287
2.8,0.6,90,0.6066999999999884,0.0028437678436463985
2.8,0.6,91,0.6133999999999876,0.0009320906016750434
2.8,0.6,92,0.6223999999999866,0.0012249551814767193
2.8,0.6,93,0.6326999999999855,0.00103650031421204
2.8,0.6,94,0.6431999999999843,0.0024537911880655916
2.8,0.6,95,0.6529999999999943,0.0026328107036656815
2.8,0.6,96,0.664799999999993,0.0013649214770211427
2.8,0.6,97,0.6789999999999914,0.0018677473539375153
2.8,0.6,98,0.6954999999999896,0.004246756648350656
2.8,0.6,99,0.7119999999999878,0.0008505588552749586
2.9,0.2,90,0.5885999999999904,0.00032625896550018664
2.9,0.2,91,0.5882999999999904,0.0004667584834327593
2.9,0.2,92,0.5857999999999907,0.0007922957093746153
2.9,0.2,93,0.5866999999999906,0.0012070032903321378
2.9,0.2,94,0.5891999999999903,0.001124943163238751
2.9,0.2,95,0.5930999999999899,7.034591407837947e-05
2.9,0.2,96,0.6031999999999887,0.0009790601231718236
2.9,0.2,97,0.6199999999999869,0.00034394105201945033
2.9,0.2,98,0.6444999999999842,0.0023681145921225773
2.9,0.2,99,0.682599999999991,0.0031607996646474032
2.9,0.25,90,0.5885999999999904,0.0005658354389334594
2.9,0.25,91,0.5893999999999903,0.00022188293066538955
2.9,0.25,92,0.5903999999999902,0.001010317620737355
2.9,0.25,93,0.5911999999999901,0.001063618877369247
2.9,0.25,94,0.5938999999999898,0.0017265113680127104
2.9,0.25,95,0.6033999999999887,0.0013294699663559805
2.9,0.25,96,0.6142999999999875,0.002598964494161842
2.9,0.25,97,0.6322999999999855,0.0005811453618291704
2.9,0.25,98,0.6580999999999937,0.0009014362836033031
2.9,0.25,99,0.6907999999999901,0.004722347204473653
2.9,0.3,90,0.5891999999999903,0.0012271917989954847
2.9,0.3,91,0.5901999999999902,7.467654006115184e-06
2.9,0.3,92,0.5899999999999902,0.0009133168295466728
2.9,0.3,93,0.5946999999999897,0.0009872776226358593
2.9,0.3,94,0.6023999999999888,0.0002687877510829715
2.9,0.3,95,0.610199999999988,0.0011032584430333177
2.9,0.3,96,0.6246999999999864,0.0031834767482012342
2.9,0.3,97,0.6434999999999843,0.0015530269757185737
2.9,0.3,98,0.6674999999999927,0.003027214431994353
2.9,0.3,99,0.6965999999999894,5.924260379246372e-06
2.9,0.35,90,0.5887999999999903,0.001631450105865991
2.9,0.35,91,0.5894999999999903,0.0013842439352830225
2.9,0.35,92,0.5931999999999898,0.0010592054288755997
2.9,0.35,93,0.5994999999999892,0.0006040431574888885
2.9,0.35,94,0.6079999999999882,0.0023755078796679338
2.9,0.35,95,0.618899999999987,0.0010919038342600605
2.9,0.35,96,0.6343999999999853,0.0025538529087899093
2.9,0.35,97,0.6533999999999942,0.0013997977339561293
2.9,0.35,98,0.6747999999999919,0.0016328678359123412
2.9,0.35,99,0.700199999999989,0.00341282207790981
2.9,0.4,90,0.5901999999999902,7.701855845012334e-05
2.9,0.4,91,0.5934999999999898,0.000559880136767188
2.9,0.4,92,0.5991999999999892,0.002058480241509485
2.9,0.4,93,0.6072999999999883,0.0017325705759118144
2.9,0.4,94,0.6154999999999874,0.0029975602515369165
2.9,0.4,95,0.628199999999986,0.0007139100072956466
2.9,0.4,96,0.6429999999999844,0.0034846440536234115
2.9,0.4,97,0.6597999999999935,0.0022608146934721502
2.9,0.4,98,0.6788999999999914,0.004478720927043719
2.9,0.4,99,0.7037999999999887,0.002934085973097765
2.9,0.45,90,0.5934999999999898,0.0014343114739856094
2.9,0.45,91,0.5991999999999892,0.0015956589264752947
2.9,0.45,92,0.6044999999999886,0.00023761528494844632
2.9,0.45,93,0.6127999999999877,0.003036474941804759
2.9,0.45,94,0.6224999999999866,0.0012287959686775292
2.9,0.45,95,0.6356999999999852,0.002654234977884918
2.9,0.45,96,0.6504999999999945,0.002607074559759154
2.9,0.45,97,0.6661999999999928,0.0031841678103273676
2.9,0.45,98,0.6853999999999907,0.0017560557680288702
2.9,0.45,99,0.7065999999999883,0.0036714312658567088
2.9,0.5,90,0.6002999999999891,0.0020842429892325804
2.9,0.5,91,0.6031999999999887,0.0006461852396511818
2.9,0.5,92,0.6104999999999879,0.0019373759825792875
2.9,0.5,93,0.6198999999999869,0.0014361541557434488
2.9,0.5,94,0.6305999999999857,0.0025778675117731575
2.9,0.5,95,0.6434999999999843,0.0006114995979713872
2.9,0.5,96,0.6565999999999939,0.0026374348210177513
2.9,0.5,97,0.6714999999999922,0.001614662025159662
2.9,0.5,98,0.6897999999999902,0.0027104875089364383
2.9,0.5,99,0.7086999999999881,0.00022288994366842662
2.9,0.55,90,0.6020999999999889,0.002226740356685986
2.9,0.55,91,0.6083999999999882,0.0006585531677478022
2.9,0.55,92,0.6173999999999872,0.0012440980199617253
2.9,0.55,93,0.6270999999999861,0.00207061134225977
2.9,0.55,94,0.6399999999999847,0.0015874154735066642
2.9,0.55,95,0.6491999999999837,0.003495911818342906
