confidence_interval,option_price,standard_error,m,S0,K,H,q,confidence_level,n_paths,r,sigma,T
7.864477926800249,21.495176164421192,4.012562469940391,50,100,100,85,0,0.95,100,0.1,0.25,2.7
7.226719358451159,24.24648562430029,3.687169466099683,50,100,100,85,0,0.95,100,0.1,0.25,2.8000000000000003
7.43885351272618,26.427405966305482,3.7954031662841294,50,100,100,85,0,0.95,100,0.1,0.25,2.9000000000000004
7.536437849866571,27.834509336568207,3.8451920082782296,50,100,100,85,0,0.95,100,0.1,0.25,3.0000000000000004
7.399070267075532,23.514745571178345,3.77510521899303,50,100,100,85,0,0.95,100,0.1,0.25,3.1000000000000005
7.433984281941292,24.536115330371253,3.792918819212808,50,100,100,85,0,0.95,100,0.1,0.25,3.2
8.579700150539418,30.35489687604089,4.37747847318369,50,100,100,85,0,0.95,100,0.1,0.25,3.3000000000000003
7.040827657184349,23.962793154085215,3.592325018582739,50,100,100,85,0,0.95,100,0.1,0.25,3.4000000000000004
7.690949798827069,21.519027575926103,3.924026083893531,50,100,100,85,0,0.95,100,0.1,0.25,3.5000000000000004
7.23306224194421,23.069268807447667,3.690405690613543,50,100,100,85,0,0.95,100,0.1,0.25,3.6000000000000005
6.904680588741735,22.033460367174598,3.5228609521424756,50,100,100,85,0,0.95,100,0.1,0.25,3.7
8.601293167646837,30.413490915503576,4.3884955210875,50,100,100,85,0,0.95,100,0.1,0.25,3.8000000000000003
9.54131750990862,26.95044298688547,4.868108590346208,50,100,100,85,0,0.95,100,0.1,0.25,3.9000000000000004
6.295599285314125,18.02543732509695,3.2120994747725007,50,100,100,85,0,0.95,100,0.1,0.25,4
9.496309408077785,30.56051762785087,4.845144851121481,50,100,100,85,0,0.95,100,0.1,0.25,4.1000000000000005
11.081451649816575,28.583852963508633,5.653905753996325,50,100,100,85,0,0.95,100,0.1,0.25,4.2
9.420281481865677,30.59984812778141,4.806354380065989,50,100,100,85,0,0.95,100,0.1,0.25,4.300000000000001
10.176924892266504,22.058538369228582,5.1924040301458545,50,100,100,85,0,0.95,100,0.1,0.25,4.4
9.967602736722693,35.493332568194404,5.0856050495549265,50,100,100,85,0,0.95,100,0.1,0.25,4.5
7.940559759135529,25.76593115419359,4.051380444625336,50,100,100,85,0,0.95,100,0.1,0.25,4.6000000000000005
10.428286914188165,34.91338568751099,5.320652316290076,50,100,100,85,0,0.95,100,0.1,0.25,4.7
11.380511593379724,35.64266406380814,5.806490161629371,50,100,100,85,0,0.95,100,0.1,0.25,4.800000000000001
12.440072792624717,41.27156323804711,6.34709254391939,50,100,100,85,0,0.95,100,0.1,0.25,4.9
1.4115637295179295,3.796680422467756,0.7201988101068,50,100,100,85,0,0.95,100,0.1,0.3,0.2
2.5611601451672605,9.622537842979305,1.3067383714034366,50,100,100,85,0,0.95,100,0.1,0.3,0.30000000000000004
2.5003823556171945,10.17256587858109,1.2757287252928582,50,100,100,85,0,0.95,100,0.1,0.3,0.4
2.8165745814989847,9.889412751357499,1.4370542539127074,50,100,100,85,0,0.95,100,0.1,0.3,0.5
3.405259759170434,12.544976477050907,1.7374093534527617,50,100,100,85,0,0.95,100,0.1,0.3,0.6000000000000001
3.67228103419106,12.165800568857986,1.8736472012534642,50,100,100,85,0,0.95,100,0.1,0.3,0.7
2.981428081351697,9.868001878766224,1.5211647279586877,50,100,100,85,0,0.95,100,0.1,0.3,0.8
6.160457782501473,19.33472948700725,3.1431484614484644,50,100,100,85,0,0.95,100,0.1,0.3,0.9000000000000001
4.530765525814724,15.309200976537397,2.3116575414409777,50,100,100,85,0,0.95,100,0.1,0.3,1
4.341913667639381,14.874024672203923,2.2153027820346916,50,100,100,85,0,0.95,100,0.1,0.3,1.1
4.450852512880864,14.956829814531202,2.2708848468587286,50,100,100,85,0,0.95,100,0.1,0.3,1.2
5.052835854694312,17.922429091388434,2.5780248486964235,50,100,100,85,0,0.95,100,0.1,0.3,1.3
5.600856528308571,18.375012887896496,2.857632371047332,50,100,100,85,0,0.95,100,0.1,0.3,1.4000000000000001
5.8376176830440825,16.731104248736187,2.97843109827041,50,100,100,85,0,0.95,100,0.1,0.3,1.5
5.672779192376332,18.348428230189782,2.894328282112575,50,100,100,85,0,0.95,100,0.1,0.3,1.6
5.410047655402557,19.003947573162343,2.7602791163900573,50,100,100,85,0,0.95,100,0.1,0.3,1.7
7.493231579560482,16.71407714269429,3.823147587744539,50,100,100,85,0,0.95,100,0.1,0.3,1.8
6.411839083342009,18.329489720988157,3.271406583956531,50,100,100,85,0,0.95,100,0.1,0.3,1.9000000000000001
7.172777477517575,24.855902660022558,3.659647592555541,50,100,100,85,0,0.95,100,0.1,0.3,2
7.057635608334833,18.884464335528467,3.600900661443048,50,100,100,85,0,0.95,100,0.1,0.3,2.1
7.10832585937252,20.4247600727113,3.6267635096573647,50,100,100,85,0,0.95,100,0.1,0.3,2.2
8.936677568910618,21.255162271016047,4.5596131558548985,50,100,100,85,0,0.95,100,0.1,0.3,2.3000000000000003
6.7024052674719545,20.02657907954857,3.419657361226876,50,100,100,85,0,0.95,100,0.1,0.3,2.4000000000000004
8.229934488323478,25.0804480637376,4.199023325550955,50,100,100,85,0,0.95,100,0.1,0.3,2.5000000000000004
7.985365411670113,22.22028696232116,4.074240891494771,50,100,100,85,0,0.95,100,0.1,0.3,2.6000000000000005
7.400814785735451,21.27093278379829,3.7759952958891767,50,100,100,85,0,0.95,100,0.1,0.3,2.7
6.8834102392886045,19.57838487142943,3.5120085336179985,50,100,100,85,0,0.95,100,0.1,0.3,2.8000000000000003
9.939596649180753,26.445802674275193,5.071315966815219,50,100,100,85,0,0.95,100,0.1,0.3,2.9000000000000004
9.024809985332157,20.284594057386258,4.604579500704455,50,100,100,85,0,0.95,100,0.1,0.3,3.0000000000000004
13.34940711777494,35.29749549473811,6.811047153454533,50,100,100,85,0,0.95,100,0.1,0.3,3.1000000000000005
8.180531733805957,23.073600064794817,4.17381737538697,50,100,100,85,0,0.95,100,0.1,0.3,3.2
9.654813179109277,25.336562893382094,4.926015608075053,50,100,100,85,0,0.95,100,0.1,0.3,3.3000000000000003
7.548331092927178,21.84837253892949,3.851260100934227,50,100,100,85,0,0.95,100,0.1,0.3,3.4000000000000004
11.537680746600776,32.12670648378874,5.886679978616204,50,100,100,85,0,0.95,100,0.1,0.3,3.5000000000000004
8.855206649116818,29.17214385738011,4.518045596228073,50,100,100,85,0,0.95,100,0.1,0.3,3.6000000000000005
10.595234164446305,26.723992462781162,5.405831049968347,50,100,100,85,0,0.95,100,0.1,0.3,3.7
8.752756327737632,26.398166647935945,4.465774063594157,50,100,100,85,0,0.95,100,0.1,0.3,3.8000000000000003
13.02686132617641,30.537715639139464,6.646479950106548,50,100,100,85,0,0.95,100,0.1,0.3,3.9000000000000004
10.155732330490808,28.296824646160324,5.1815912999411875,50,100,100,85,0,0.95,100,0.1,0.3,4
10.942802893991654,25.438736210471205,5.58316529298859,50,100,100,85,0,0.95,100,0.1,0.3,4.1000000000000005
10.181601333018977,25.69171727261783,5.1947900131482765,50,100,100,85,0,0.95,100,0.1,0.3,4.2
14.31670736755422,29.82051375256135,7.3045767577785,50,100,100,85,0,0.95,100,0.1,0.3,4.300000000000001
11.903954673554939,28.62704367199871,6.073557865068856,50,100,100,85,0,0.95,100,0.1,0.3,4.4
10.242915605131955,26.428467051431365,5.226073379881859,50,100,100,85,0,0.95,100,0.1,0.3,4.5
8.977641121405762,25.617195978874634,4.5805133115813605,50,100,100,85,0,0.95,100,0.1,0.3,4.6000000000000005
13.15061963363548,33.18097889014832,6.709623103978385,50,100,100,85,0,0.95,100,0.1,0.3,4.7
14.107690294352464,33.54208597295818,7.19793343430396,50,100,100,85,0,0.95,100,0.1,0.3,4.800000000000001
8.279164528462156,19.811287183431997,4.224141154514649,50,100,100,85,0,0.95,100,0.1,0.3,4.9
2.1786486682903856,8.017568704230582,1.1115758684727313,50,100,100,85,0,0.95,100,0.1,0.35,0.2
3.2745642421581547,11.301553529074162,1.6707267419133718,50,100,100,85,0,0.95,100,0.1,0.35,0.30000000000000004
3.1013662998364393,10.037742679753576,1.5823588210291726,50,100,100,85,0,0.95,100,0.1,0.35,0.4
4.219318497605454,14.847753743391308,2.152753076529416,50,100,100,85,0,0.95,100,0.1,0.35,0.5
4.210227288533481,12.97426411870347,2.14811461932118,50,100,100,85,0,0.95,100,0.1,0.35,0.6000000000000001
3.484493388988902,10.08687724827592,1.7778354176271307,50,100,100,85,0,0.95,100,0.1,0.35,0.7
3.8166392925115393,10.026479228194669,1.947300727266778,50,100,100,85,0,0.95,100,0.1,0.35,0.8
5.023503180310005,16.22960001041842,2.563058923497961,50,100,100,85,0,0.95,100,0.1,0.35,0.9000000000000001
4.55248959247331,11.914131422669294,2.3227414525893164,50,100,100,85,0,0.95,100,0.1,0.35,1
6.7374929704816235,19.760773780935033,3.4375595794749847,50,100,100,85,0,0.95,100,0.1,0.35,1.1
7.786536220545088,21.441927140045387,3.972795562553339,50,100,100,85,0,0.95,100,0.1,0.35,1.2
6.427865539788449,18.590959963940687,3.2795834977023213,50,100,100,85,0,0.95,100,0.1,0.35,1.3
8.096323547027508,19.027495094617162,4.130853225309381,50,100,100,85,0,0.95,100,0.1,0.35,1.4000000000000001
5.848169985233907,20.246477172000958,2.983815024849194,50,100,100,85,0,0.95,100,0.1,0.35,1.5
6.6658712615987,19.056620288946924,3.4010172197949773,50,100,100,85,0,0.95,100,0.1,0.35,1.6
6.630404239510974,20.87681320047882,3.3829214678487753,50,100,100,85,0,0.95,100,0.1,0.35,1.7
6.49786239403628,16.83158356994816,3.3152968346819582,50,100,100,85,0,0.95,100,0.1,0.35,1.8
