S0,K,r,m,T,H,sigma,trading_days,price_mc
100,100,0.1,50,3.4,90,0.39999999999999997,250,21.565
100,100,0.1,50,3.4,90,0.44999999999999996,250,21.634
100,100,0.1,50,3.4,90,0.49999999999999994,250,21.826
100,100,0.1,50,3.4,90,0.5499999999999999,250,22.088
100,100,0.1,50,3.4,90,0.5999999999999999,250,22.459
100,100,0.1,50,3.5,90,0.2,250,24.382
100,100,0.1,50,3.5,90,0.25,250,23.123
100,100,0.1,50,3.5,90,0.3,250,22.372
100,100,0.1,50,3.5,90,0.35,250,21.961
100,100,0.1,50,3.5,90,0.39999999999999997,250,21.819
100,100,0.1,50,3.5,90,0.44999999999999996,250,21.876
100,100,0.1,50,3.5,90,0.49999999999999994,250,22.066
100,100,0.1,50,3.5,90,0.5499999999999999,250,22.333
100,100,0.1,50,3.5,90,0.5999999999999999,250,22.705
100,100,0.1,50,3.6,90,0.2,250,24.784
100,100,0.1,50,3.6,90,0.25,250,23.457
100,100,0.1,50,3.6,90,0.3,250,22.664
100,100,0.1,50,3.6,90,0.35,250,22.228
100,100,0.1,50,3.6,90,0.39999999999999997,250,22.069
100,100,0.1,50,3.6,90,0.44999999999999996,250,22.13
100,100,0.1,50,3.6,90,0.49999999999999994,250,22.296
100,100,0.1,50,3.6,90,0.5499999999999999,250,22.583
100,100,0.1,50,3.6,90,0.5999999999999999,250,22.952
100,100,0.1,50,3.7,90,0.2,250,25.182
100,100,0.1,50,3.7,90,0.25,250,23.79
100,100,0.1,50,3.7,90,0.3,250,22.953
100,100,0.1,50,3.7,90,0.35,250,22.493
100,100,0.1,50,3.7,90,0.39999999999999997,250,22.325
100,100,0.1,50,3.7,90,0.44999999999999996,250,22.371
100,100,0.1,50,3.7,90,0.49999999999999994,250,22.527
100,100,0.1,50,3.7,90,0.5499999999999999,250,22.813
100,100,0.1,50,3.7,90,0.5999999999999999,250,23.195
100,100,0.1,50,3.8,90,0.2,250,25.576
100,100,0.1,50,3.8,90,0.25,250,24.121
100,100,0.1,50,3.8,90,0.3,250,23.237
100,100,0.1,50,3.8,90,0.35,250,22.753
100,100,0.1,50,3.8,90,0.39999999999999997,250,22.577
100,100,0.1,50,3.8,90,0.44999999999999996,250,22.597
100,100,0.1,50,3.8,90,0.49999999999999994,250,22.76
100,100,0.1,50,3.8,90,0.5499999999999999,250,23.041
100,100,0.1,50,3.8,90,0.5999999999999999,250,23.431
100,100,0.1,50,3.9,90,0.2,250,25.962
100,100,0.1,50,3.9,90,0.25,250,24.445
100,100,0.1,50,3.9,90,0.3,250,23.517
100,100,0.1,50,3.9,90,0.35,250,23.013
100,100,0.1,50,3.9,90,0.39999999999999997,250,22.824
100,100,0.1,50,3.9,90,0.44999999999999996,250,22.832
100,100,0.1,50,3.9,90,0.49999999999999994,250,22.977
100,100,0.1,50,3.9,90,0.5499999999999999,250,23.273
100,100,0.1,50,3.9,90,0.5999999999999999,250,23.656
100,100,0.1,50,4.0,90,0.2,250,26.344
100,100,0.1,50,4.0,90,0.25,250,24.758
100,100,0.1,50,4.0,90,0.3,250,23.797
100,100,0.1,50,4.0,90,0.35,250,23.271
100,100,0.1,50,4.0,90,0.39999999999999997,250,23.066
100,100,0.1,50,4.0,90,0.44999999999999996,250,23.05
100,100,0.1,50,4.0,90,0.49999999999999994,250,23.214
100,100,0.1,50,4.0,90,0.5499999999999999,250,23.495
100,100,0.1,50,4.0,90,0.5999999999999999,250,23.874
100,100,0.1,50,4.1,90,0.2,250,26.719
