S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,best_beta
200,200,0.1,50,0.2,177,0.3,250,12.42997840198432,12.29263498587838,12.431752818178243,0.5889
200,200,0.1,50,0.2,178,0.3,250,12.374307672939027,12.198945201593542,12.367494515334233,0.611
200,200,0.1,50,0.2,179,0.3,250,12.286818612799104,12.087097542114442,12.289874327897502,0.5889
200,200,0.1,50,0.2,180,0.3,250,12.193137574508295,11.95448399111836,12.196768554740501,0.5889
200,200,0.1,50,0.2,181,0.3,250,12.089005429688903,11.798297018361584,12.085850254846633,0.59
200,200,0.1,50,0.2,182,0.3,250,11.95050719359674,11.615543068205561,11.954593344421639,0.5889
200,200,0.1,50,0.2,183,0.3,250,11.795240279083444,11.403060837061883,11.800280947655596,0.5889
200,200,0.1,50,0.2,184,0.3,250,11.624435573993752,11.15754423729961,11.620018181188378,0.589
200,200,0.1,50,0.2,185,0.3,250,11.413063619297949,10.875569783546222,11.410749420991753,0.5889
200,200,0.1,50,0.2,186,0.3,250,11.169230527084133,10.55362797698131,11.169279957802559,0.5889
200,200,0.1,50,0.2,187,0.3,250,10.896272049823757,10.188158111565947,10.892301799283217,0.5889
200,200,0.1,50,0.2,188,0.3,250,10.570997141120575,9.775585790362136,10.576423230172857,0.5889
200,200,0.1,50,0.2,189,0.3,250,10.220103764717283,9.312362326742736,10.2182016024456,0.5889
200,200,0.1,50,0.2,190,0.3,250,9.81027761630288,8.795005119925868,9.814178702368679,0.5889
200,200,0.1,50,0.2,191,0.3,250,9.35991299575907,8.220138041109351,9.360917936266397,0.5889
200,200,0.1,50,0.2,192,0.3,250,8.849876990671866,7.584530848175781,8.855042496781586,0.5889
200,200,0.1,50,0.2,193,0.3,250,8.291979454162352,6.885136664418717,8.293273620350263,0.5889
200,200,0.1,50,0.2,194,0.3,250,7.672557222589964,6.119126609189024,7.672468026955087,0.5889
200,200,0.1,50,0.2,195,0.3,250,6.985260419895564,5.283920753290062,6.98965364596868,0.5889
200,200,0.1,50,0.2,196,0.3,250,6.258783565451099,4.377214685370731,6.242062776465275,0.5889
200,200,0.1,50,0.2,197,0.3,250,5.4738682655857165,3.3970011122409005,5.427161904699233,0.5989
