S0,K,r,m,T,H,sigma,trading_days,price_mc,price,price_adj,best_beta
100,100,0.1,50,2.5,95,0.35,250,13.985,7.996,13.702,0.611
100,100,0.1,50,2.5,95,0.4,250,14.193,7.528,13.8,0.611
100,100,0.1,50,2.5,95,0.45,250,14.506,7.172,13.998,0.611
100,100,0.1,50,2.5,95,0.5,250,14.912,6.893,14.267,0.611
100,100,0.1,50,2.5,95,0.55,250,15.352,6.669,14.586,0.611
100,100,0.1,50,2.5,95,0.6,250,15.832,6.486,14.942,0.6889
100,100,0.1,50,2.6,95,0.2,250,15.165,11.143,15.11,0.591
100,100,0.1,50,2.6,95,0.25,250,14.473,9.683,14.348,0.6
100,100,0.1,50,2.6,95,0.3,250,14.224,8.732,14.021,0.6089
100,100,0.1,50,2.6,95,0.35,250,14.249,8.07,13.95,0.611
100,100,0.1,50,2.6,95,0.4,250,14.456,7.587,14.039,0.611
100,100,0.1,50,2.6,95,0.45,250,14.765,7.22,14.234,0.611
100,100,0.1,50,2.6,95,0.5,250,15.173,6.933,14.501,0.611
100,100,0.1,50,2.6,95,0.55,250,15.61,6.702,14.821,0.611
100,100,0.1,50,2.6,95,0.6,250,16.083,6.514,15.179,0.6889
100,100,0.1,50,2.7,95,0.2,250,15.505,11.326,15.444,0.591
100,100,0.1,50,2.7,95,0.25,250,14.772,9.81,14.635,0.601
100,100,0.1,50,2.7,95,0.3,250,14.501,8.825,14.281,0.609
100,100,0.1,50,2.7,95,0.35,250,14.515,8.142,14.195,0.611
100,100,0.1,50,2.7,95,0.4,250,14.712,7.644,14.275,0.611
100,100,0.1,50,2.7,95,0.45,250,15.025,7.267,14.465,0.611
100,100,0.1,50,2.7,95,0.5,250,15.432,6.971,14.731,0.611
100,100,0.1,50,2.7,95,0.55,250,15.876,6.735,15.051,0.611
100,100,0.1,50,2.7,95,0.6,250,16.353,6.541,15.411,0.6889
100,100,0.1,50,2.8,95,0.2,250,15.839,11.505,15.774,0.591
100,100,0.1,50,2.8,95,0.25,250,15.065,9.935,14.918,0.601
100,100,0.1,50,2.8,95,0.3,250,14.768,8.917,14.538,0.6099
100,100,0.1,50,2.8,95,0.35,250,14.774,8.213,14.436,0.611
100,100,0.1,50,2.8,95,0.4,250,14.967,7.7,14.507,0.611
100,100,0.1,50,2.8,95,0.45,250,15.279,7.312,14.693,0.611
100,100,0.1,50,2.8,95,0.5,250,15.691,7.009,14.957,0.611
100,100,0.1,50,2.8,95,0.55,250,16.124,6.766,15.277,0.611
100,100,0.1,50,2.8,95,0.6,250,16.617,6.568,15.639,0.6889
100,100,0.1,50,2.9,95,0.2,250,16.17,11.68,16.101,0.591
100,100,0.1,50,2.9,95,0.25,250,15.359,10.056,15.197,0.601
100,100,0.1,50,2.9,95,0.3,250,15.033,9.006,14.791,0.61
100,100,0.1,50,2.9,95,0.35,250,15.027,8.281,14.673,0.611
100,100,0.1,50,2.9,95,0.4,250,15.222,7.754,14.736,0.611
100,100,0.1,50,2.9,95,0.45,250,15.531,7.356,14.917,0.611
100,100,0.1,50,2.9,95,0.5,250,15.937,7.045,15.179,0.611
100,100,0.1,50,2.9,95,0.55,250,16.387,6.796,15.499,0.611
100,100,0.1,50,2.9,95,0.6,250,16.874,6.593,15.862,0.6889
100,100,0.1,50,3.0,95,0.2,250,16.498,11.853,16.424,0.591
100,100,0.1,50,3.0,95,0.25,250,15.641,10.175,15.474,0.601
100,100,0.1,50,3.0,95,0.3,250,15.304,9.094,15.04,0.611
100,100,0.1,50,3.0,95,0.35,250,15.278,8.348,14.907,0.611
100,100,0.1,50,3.0,95,0.4,250,15.471,7.807,14.961,0.611
100,100,0.1,50,3.0,95,0.45,250,15.782,7.398,15.137,0.611
100,100,0.1,50,3.0,95,0.5,250,16.186,7.08,15.397,0.611
100,100,0.1,50,3.0,95,0.55,250,16.636,6.825,15.717,0.6889
100,100,0.1,50,3.0,95,0.6,250,17.134,6.618,16.082,0.6889
100,100,0.1,50,3.1,95,0.2,250,16.825,12.022,16.743,0.591
100,100,0.1,50,3.1,95,0.25,250,15.927,10.292,15.747,0.601
100,100,0.1,50,3.1,95,0.3,250,15.567,9.179,15.287,0.611
100,100,0.1,50,3.1,95,0.35,250,15.531,8.413,15.138,0.611
100,100,0.1,50,3.1,95,0.4,250,15.719,7.858,15.182,0.611
100,100,0.1,50,3.1,95,0.45,250,16.028,7.439,15.353,0.611
100,100,0.1,50,3.1,95,0.5,250,16.427,7.113,15.612,0.611
100,100,0.1,50,3.1,95,0.55,250,16.88,6.853,15.932,0.6889
100,100,0.1,50,3.1,95,0.6,250,17.377,6.642,16.297,0.6889
100,100,0.1,50,3.2,95,0.2,250,17.147,12.189,17.06,0.591
100,100,0.1,50,3.2,95,0.25,250,16.212,10.406,16.017,0.6089
100,100,0.1,50,3.2,95,0.3,250,15.83,9.262,15.53,0.611
100,100,0.1,50,3.2,95,0.35,250,15.778,8.476,15.365,0.611
100,100,0.1,50,3.2,95,0.4,250,15.959,7.908,15.4,0.611
100,100,0.1,50,3.2,95,0.45,250,16.275,7.479,15.567,0.611
100,100,0.1,50,3.2,95,0.5,250,16.672,7.146,15.823,0.611
100,100,0.1,50,3.2,95,0.55,250,17.123,6.881,16.143,0.6889
100,100,0.1,50,3.2,95,0.6,250,17.614,6.664,16.51,0.6889
100,100,0.1,50,3.3,95,0.2,250,17.468,12.352,17.373,0.5989
100,100,0.1,50,3.3,95,0.25,250,16.494,10.518,16.283,0.6089
100,100,0.1,50,3.3,95,0.3,250,16.083,9.344,15.77,0.611
100,100,0.1,50,3.3,95,0.35,250,16.024,8.538,15.59,0.611
100,100,0.1,50,3.3,95,0.4,250,16.2,7.956,15.616,0.611
100,100,0.1,50,3.3,95,0.45,250,16.508,7.518,15.777,0.611
100,100,0.1,50,3.3,95,0.5,250,16.907,7.178,16.031,0.611
100,100,0.1,50,3.3,95,0.55,250,17.361,6.907,16.35,0.6889
100,100,0.1,50,3.3,95,0.6,250,17.86,6.687,16.718,0.6889
100,100,0.1,50,3.4,95,0.2,250,17.781,12.513,17.683,0.5989
100,100,0.1,50,3.4,95,0.25,250,16.772,10.628,16.547,0.6089
100,100,0.1,50,3.4,95,0.3,250,16.333,9.424,16.007,0.611
100,100,0.1,50,3.4,95,0.35,250,16.266,8.599,15.811,0.611
100,100,0.1,50,3.4,95,0.4,250,16.434,8.004,15.828,0.611
100,100,0.1,50,3.4,95,0.45,250,16.744,7.556,15.984,0.611
100,100,0.1,50,3.4,95,0.5,250,17.145,7.209,16.236,0.611
100,100,0.1,50,3.4,95,0.55,250,17.601,6.933,16.555,0.6889
100,100,0.1,50,3.4,95,0.6,250,18.104,6.708,16.924,0.6889
100,100,0.1,50,3.5,95,0.2,250,18.097,12.672,17.99,0.5989
100,100,0.1,50,3.5,95,0.25,250,17.043,10.736,16.808,0.6089
100,100,0.1,50,3.5,95,0.3,250,16.586,9.502,16.242,0.611
100,100,0.1,50,3.5,95,0.35,250,16.503,8.658,16.03,0.611
100,100,0.1,50,3.5,95,0.4,250,16.664,8.05,16.037,0.611
100,100,0.1,50,3.5,95,0.45,250,16.977,7.593,16.188,0.611
100,100,0.1,50,3.5,95,0.5,250,17.376,7.239,16.437,0.6889
100,100,0.1,50,3.5,95,0.55,250,17.834,6.958,16.756,0.6889
100,100,0.1,50,3.5,95,0.6,250,18.321,6.729,17.126,0.6889
100,100,0.1,50,3.6,95,0.2,250,18.407,12.828,18.295,0.5989
100,100,0.1,50,3.6,95,0.25,250,17.315,10.842,17.067,0.609
100,100,0.1,50,3.6,95,0.3,250,16.839,9.578,16.474,0.611
100,100,0.1,50,3.6,95,0.35,250,16.74,8.716,16.246,0.611
100,100,0.1,50,3.6,95,0.4,250,16.896,8.095,16.244,0.611
100,100,0.1,50,3.6,95,0.45,250,17.205,7.629,16.39,0.611
100,100,0.1,50,3.6,95,0.5,250,17.6,7.269,16.636,0.6889
100,100,0.1,50,3.6,95,0.55,250,18.06,6.982,16.954,0.6889
100,100,0.1,50,3.6,95,0.6,250,18.552,6.749,17.324,0.6889
100,100,0.1,50,3.7,95,0.2,250,18.719,12.981,18.596,0.5989
100,100,0.1,50,3.7,95,0.25,250,17.581,10.946,17.322,0.6099
100,100,0.1,50,3.7,95,0.3,250,17.082,9.653,16.703,0.611
100,100,0.1,50,3.7,95,0.35,250,16.972,8.772,16.459,0.611
100,100,0.1,50,3.7,95,0.4,250,17.127,8.139,16.448,0.611
100,100,0.1,50,3.7,95,0.45,250,17.437,7.664,16.588,0.611
100,100,0.1,50,3.7,95,0.5,250,17.821,7.297,16.832,0.6889
100,100,0.1,50,3.7,95,0.55,250,18.29,7.005,17.15,0.6889
100,100,0.1,50,3.7,95,0.6,250,18.789,6.769,17.52,0.6889
100,100,0.1,50,3.8,95,0.2,250,19.027,13.133,18.895,0.5989
100,100,0.1,50,3.8,95,0.25,250,17.848,11.048,17.576,0.61
100,100,0.1,50,3.8,95,0.3,250,17.322,9.727,16.929,0.611
100,100,0.1,50,3.8,95,0.35,250,17.202,8.828,16.67,0.611
100,100,0.1,50,3.8,95,0.4,250,17.351,8.182,16.65,0.611
100,100,0.1,50,3.8,95,0.45,250,17.659,7.699,16.784,0.611
100,100,0.1,50,3.8,95,0.5,250,18.043,7.325,17.026,0.6889
100,100,0.1,50,3.8,95,0.55,250,18.514,7.028,17.342,0.6889
100,100,0.1,50,3.8,95,0.6,250,19.021,6.787,17.713,0.6889
100,100,0.1,50,3.9,95,0.2,250,19.334,13.281,19.191,0.599
100,100,0.1,50,3.9,95,0.25,250,18.114,11.149,17.826,0.611
100,100,0.1,50,3.9,95,0.3,250,17.567,9.799,17.154,0.611
100,100,0.1,50,3.9,95,0.35,250,17.434,8.882,16.879,0.611
100,100,0.1,50,3.9,95,0.4,250,17.573,8.224,16.849,0.611
100,100,0.1,50,3.9,95,0.45,250,17.876,7.732,16.978,0.611
100,100,0.1,50,3.9,95,0.5,250,18.267,7.352,17.216,0.6889
100,100,0.1,50,3.9,95,0.55,250,18.729,7.05,17.532,0.6889
100,100,0.1,50,3.9,95,0.6,250,19.236,6.806,17.904,0.6889
100,100,0.1,50,4.0,95,0.2,250,19.633,13.428,19.484,0.599
100,100,0.1,50,4.0,95,0.25,250,18.375,11.248,18.074,0.611
100,100,0.1,50,4.0,95,0.3,250,17.805,9.87,17.376,0.611
100,100,0.1,50,4.0,95,0.35,250,17.66,8.935,17.085,0.611
100,100,0.1,50,4.0,95,0.4,250,17.793,8.265,17.045,0.611
100,100,0.1,50,4.0,95,0.45,250,18.091,7.765,17.169,0.611
100,100,0.1,50,4.0,95,0.5,250,18.477,7.378,17.405,0.6889
100,100,0.1,50,4.0,95,0.55,250,18.945,7.072,17.719,0.6889
100,100,0.1,50,4.0,95,0.6,250,19.457,6.824,18.091,0.6889
100,100,0.1,50,4.1,95,0.2,250,19.934,13.573,19.775,0.5999
100,100,0.1,50,4.1,95,0.25,250,18.637,11.345,18.32,0.611
100,100,0.1,50,4.1,95,0.3,250,18.042,9.94,17.595,0.611
100,100,0.1,50,4.1,95,0.35,250,17.892,8.987,17.289,0.611
100,100,0.1,50,4.1,95,0.4,250,18.011,8.305,17.239,0.611
100,100,0.1,50,4.1,95,0.45,250,18.311,7.796,17.358,0.611
100,100,0.1,50,4.1,95,0.5,250,18.694,7.404,17.59,0.6889
100,100,0.1,50,4.1,95,0.55,250,19.16,7.093,17.904,0.6889
100,100,0.1,50,4.1,95,0.6,250,19.675,6.841,18.276,0.6889
100,100,0.1,50,4.2,95,0.2,250,20.235,13.715,20.064,0.6009
100,100,0.1,50,4.2,95,0.25,250,18.892,11.441,18.564,0.611
100,100,0.1,50,4.2,95,0.3,250,18.279,10.008,17.812,0.611
100,100,0.1,50,4.2,95,0.35,250,18.112,9.038,17.49,0.611
