S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent,H_log,best_beta,error_percent,q,Product
300,300,0.1,50,5,262.0,0.5,250,83.5819,54.78466376953837,82.97493647499519,12.6667,0.13543797089510426,0.5989,0.7261901500262796,0,0.15811388300841897
300,300,0.1,50,4,263.0,0.3,250,78.6131,63.66203565938676,78.69796050182937,12.3333,0.13162844247843647,0.5889,0.10794702387944022,0,0.0848528137423857
300,300,0.1,50,4,263.0,0.4,250,76.0517,56.15565956297188,76.10814248891239,12.3333,0.13162844247843647,0.5889,0.07421594640539995,0,0.1131370849898476
300,300,0.1,50,4,263.0,0.5,250,76.3092,51.5384892455461,75.85528642678878,12.3333,0.13162844247843647,0.591,0.5948346637249824,0,0.1414213562373095
300,300,0.1,50,5,263.0,0.3,250,87.0351,68.56171194037368,87.0825921005265,12.3333,0.13162844247843647,0.5889,0.05456660649151599,0,0.09486832980505137
300,300,0.1,50,5,263.0,0.4,250,83.1136,59.11679476404525,82.9338346199935,12.3333,0.13162844247843647,0.5889,0.21628876622658708,0,0.1264911064067352
300,300,0.1,50,5,263.0,0.5,250,82.6844,53.47355677932593,81.93518633931188,12.3333,0.13162844247843647,0.5999,0.9061124718666559,0,0.15811388300841897
300,300,0.1,50,4,264.0,0.3,250,77.6989,62.34027838637792,77.67773200117118,12.0,0.12783337150988489,0.5889,0.027243627424346255,0,0.0848528137423857
300,300,0.1,50,4,264.0,0.4,250,75.1375,54.85875056034391,75.08376635477383,12.0,0.12783337150988489,0.5889,0.07151375175667819,0,0.1131370849898476
300,300,0.1,50,4,264.0,0.5,250,75.1483,50.282940277353546,74.852216473354,12.0,0.12783337150988489,0.59,0.3939989682348115,0,0.1414213562373095
300,300,0.1,50,5,264.0,0.3,250,85.8953,67.10221735996178,85.96306976780205,12.0,0.12783337150988489,0.5889,0.07889810944492644,0,0.09486832980505137
300,300,0.1,50,5,264.0,0.4,250,81.9574,57.72867952667197,81.84415961109522,12.0,0.12783337150988489,0.5889,0.13816981615422774,0,0.1264911064067352
300,300,0.1,50,5,264.0,0.5,250,81.6197,52.15521476509612,80.88915467274174,12.0,0.12783337150988489,0.599,0.8950600495447244,0,0.15811388300841897
300,300,0.1,50,4,265.0,0.3,250,76.5624,60.99788291304978,76.64048295621221,11.6667,0.12405264866997888,0.5889,0.10198603519771274,0,0.0848528137423857
300,300,0.1,50,4,265.0,0.4,250,74.2413,53.54965327614944,74.04894090546989,11.6667,0.12405264866997888,0.5889,0.25909984675659553,0,0.1131370849898476
300,300,0.1,50,4,265.0,0.5,250,74.3473,49.01956820219256,73.84226546597384,11.6667,0.12405264866997888,0.5989,0.6792910220359928,0,0.1414213562373095
300,300,0.1,50,5,265.0,0.3,250,84.7993,65.62224940580492,84.82685910657547,11.6667,0.12405264866997888,0.5889,0.03249921470515297,0,0.09486832980505137
300,300,0.1,50,5,265.0,0.4,250,81.039,56.32897596176271,80.74466397265422,11.6667,0.12405264866997888,0.5909,0.3632029360502702,0,0.1264911064067352
300,300,0.1,50,5,265.0,0.5,250,80.5422,50.82965219981341,79.83685110463719,11.6667,0.12405264866997888,0.5989,0.8757507187074643,0,0.15811388300841897
300,300,0.1,50,4,266.0,0.3,250,75.5206,59.634711003228674,75.586082993363,11.3333,0.12028616587450193,0.5889,0.08670878324985663,0,0.0848528137423857
300,300,0.1,50,4,266.0,0.4,250,73.0175,52.228357060308866,73.00364898902652,11.3333,0.12028616587450193,0.5889,0.018969440166374366,0,0.1131370849898476
300,300,0.1,50,4,266.0,0.5,250,73.4589,47.74838862869933,72.8254427584269,11.3333,0.12028616587450193,0.599,0.862328787353333,0,0.1414213562373095
300,300,0.1,50,5,266.0,0.3,250,83.7206,64.12168394101275,83.6738467532971,11.3333,0.12028616587450193,0.5889,0.05584437605906542,0,0.09486832980505137
