H,T,S0,K,m,sigma,price_iter,accuracy,best_beta,Average Error,price,price_adj,H_log,error_percent,Product,q
170,4.4,200,200,50,0.25,62.01244,0.01343,0.5889,0.15486,54.72283,62.10847,0.16251893,0.15485603,0.07416198,0
170,4.4,200,200,50,0.3,60.04179,0.01599,0.5889,0.18183,50.69917,60.15097,0.16251893,0.18184002,0.08899438,0
170,4.4,200,200,50,0.35,58.75435,0.01878,0.5889,0.2144,47.57363,58.88032,0.16251893,0.21440115,0.10382678,0
170,4.4,200,200,50,0.4,57.99406,0.02187,0.5889,0.23858,45.11974,58.13243,0.16251893,0.2385934,0.11865918,0
170,4.4,200,200,50,0.45,57.61697,0.0255,0.5889,0.27416,43.16179,57.77494,0.16251893,0.2741727,0.13349157,0
170,4.4,200,200,50,0.5,57.63314,0.0297,0.5889,0.13382,41.57349,57.71026,0.16251893,0.1338119,0.14832397,0
170,4.4,200,200,50,0.55,57.81902,0.03465,0.5889,0.0842,40.26515,57.8677,0.16251893,0.08419375,0.16315637,0
170,5.0,200,200,50,0.2,69.88063,0.01189,0.5889,0.07505,63.99233,69.93307,0.16251893,0.07504225,0.06324555,0
170,5.0,200,200,50,0.25,66.1892,0.0146,0.5889,0.15699,57.78092,66.29311,0.16251893,0.15698936,0.07905694,0
170,5.0,200,200,50,0.3,63.57176,0.01742,0.5889,0.25549,53.01049,63.73418,0.16251893,0.2554908,0.09486833,0
170,5.0,200,200,50,0.35,61.86407,0.02052,0.5889,0.29259,49.36443,62.04507,0.16251893,0.29257694,0.11067972,0
170,5.0,200,200,50,0.4,60.87724,0.02412,0.5889,0.20553,46.53702,61.00236,0.16251893,0.20552837,0.12649111,0
170,5.0,200,200,50,0.45,60.36268,0.02829,0.5889,0.11913,44.30317,60.43459,0.16251893,0.1191299,0.14230249,0
170,5.0,200,200,50,0.5,60.15755,0.03325,0.5889,0.10188,42.50575,60.21883,0.16251893,0.10186585,0.15811388,0
170,5.0,200,200,50,0.55,60.2944,0.03927,0.5899,0.00371,41.03536,60.29664,0.16251893,0.0037151,0.17392527,0
171,0.2,200,200,50,0.2,9.21959,0.00159,1.01,0.00629,9.21824,9.21901,0.15665381,0.00629095,0.01264911,0
171,0.2,200,200,50,0.25,10.93378,0.00197,0.211,0.00064,10.93036,10.93371,0.15665381,0.00064022,0.01581139,0
171,0.2,200,200,50,0.3,12.63171,0.00236,0.601,0.0008,12.59307,12.63161,0.15665381,0.00079166,0.01897367,0
171,0.2,200,200,50,0.35,14.25657,0.00276,0.601,0.00037,14.15006,14.25652,0.15665381,0.00035072,0.02213594,0
171,0.2,200,200,50,0.4,15.77441,0.00317,0.5889,0.03775,15.56662,15.78036,0.15665381,0.03771932,0.02529822,0
171,0.2,200,200,50,0.45,17.19878,0.00359,0.5989,0.00819,16.83198,17.20018,0.15665381,0.00814011,0.0284605,0
171,0.2,200,200,50,0.5,18.49141,0.00402,0.5889,0.03902,17.95112,18.49862,0.15665381,0.03899108,0.03162278,0
171,0.2,200,200,50,0.55,19.68531,0.00445,0.5889,0.06362,18.93683,19.69783,0.15665381,0.06360073,0.03478505,0
171,0.8,200,200,50,0.2,22.29162,0.00364,0.611,0.00476,22.03143,22.29056,0.15665381,0.00475515,0.02529822,0
171,0.8,200,200,50,0.25,24.53993,0.0045,0.5889,0.01969,23.89979,24.54476,0.15665381,0.01968221,0.03162278,0
171,0.8,200,200,50,0.3,26.42555,0.00539,0.5889,0.0358,25.26876,26.43501,0.15665381,0.03579869,0.03794733,0
171,0.8,200,200,50,0.35,28.00424,0.00628,0.5889,0.07237,26.26178,28.0245,0.15665381,0.07234619,0.04427189,0
171,0.8,200,200,50,0.4,29.3716,0.0072,0.5889,0.06284,26.98909,29.39005,0.15665381,0.06281578,0.05059644,0
