S0,K,r,m,T,H,sigma,trading_days,price_mc,price,price_adj
100,100,0.0,50,2.1,90,0.2,250,5.959,7.591,8.586
100,100,0.0,50,2.1,90,0.25,250,6.901,8.134,9.638
100,100,0.0,50,2.1,90,0.3,250,7.636,8.506,10.535
100,100,0.0,50,2.1,90,0.35,250,7.877,8.776,11.336
100,100,0.0,50,2.1,90,0.4,250,7.841,8.978,12.074
100,100,0.0,50,2.1,90,0.45,250,7.902,9.136,12.766
100,100,0.0,50,2.1,90,0.5,250,8.417,9.261,13.426
100,100,0.0,50,2.1,90,0.55,250,9.205,9.362,14.062
100,100,0.0,50,2.1,90,0.6,250,9.275,9.446,14.677
100,100,0.0,50,2.2,90,0.2,250,6.093,7.652,8.694
100,100,0.0,50,2.2,90,0.25,250,7.058,8.185,9.75
100,100,0.0,50,2.2,90,0.3,250,7.568,8.55,10.653
100,100,0.0,50,2.2,90,0.35,250,7.932,8.813,11.461
100,100,0.0,50,2.2,90,0.4,250,7.943,9.011,12.207
100,100,0.0,50,2.2,90,0.45,250,8.061,9.164,12.909
100,100,0.0,50,2.2,90,0.5,250,8.605,9.286,13.578
100,100,0.0,50,2.2,90,0.55,250,9.044,9.385,14.223
100,100,0.0,50,2.2,90,0.6,250,8.275,9.467,14.848
100,100,0.0,50,2.3,90,0.2,250,6.177,7.71,8.798
100,100,0.0,50,2.3,90,0.25,250,6.903,8.233,9.858
100,100,0.0,50,2.3,90,0.3,250,7.732,8.59,10.767
100,100,0.0,50,2.3,90,0.35,250,7.648,8.848,11.582
100,100,0.0,50,2.3,90,0.4,250,7.887,9.041,12.336
100,100,0.0,50,2.3,90,0.45,250,8.236,9.191,13.046
100,100,0.0,50,2.3,90,0.5,250,8.787,9.31,13.725
100,100,0.0,50,2.3,90,0.55,250,8.926,9.407,14.379
100,100,0.0,50,2.3,90,0.6,250,8.431,9.486,15.014
100,100,0.0,50,2.4,90,0.2,250,6.169,7.764,8.897
100,100,0.0,50,2.4,90,0.25,250,7.046,8.278,9.961
100,100,0.0,50,2.4,90,0.3,250,7.813,8.628,10.876
100,100,0.0,50,2.4,90,0.35,250,7.806,8.88,11.699
100,100,0.0,50,2.4,90,0.4,250,8.051,9.07,12.461
100,100,0.0,50,2.4,90,0.45,250,8.405,9.216,13.18
100,100,0.0,50,2.4,90,0.5,250,8.964,9.333,13.867
100,100,0.0,50,2.4,90,0.55,250,9.104,9.427,14.531
100,100,0.0,50,2.4,90,0.6,250,8.269,9.504,15.175
100,100,0.0,50,2.5,90,0.2,250,6.291,7.815,8.993
100,100,0.0,50,2.5,90,0.25,250,7.186,8.32,10.061
100,100,0.0,50,2.5,90,0.3,250,7.656,8.664,10.982
100,100,0.0,50,2.5,90,0.35,250,7.959,8.911,11.812
100,100,0.0,50,2.5,90,0.4,250,7.673,9.096,12.582
100,100,0.0,50,2.5,90,0.45,250,8.272,9.24,13.31
100,100,0.0,50,2.5,90,0.5,250,9.136,9.354,14.006
100,100,0.0,50,2.5,90,0.55,250,9.277,9.446,14.679
100,100,0.0,50,2.5,90,0.6,250,8.412,9.521,15.332
100,100,0.0,50,2.6,90,0.2,250,6.411,7.863,9.085
100,100,0.0,50,2.6,90,0.25,250,7.221,8.36,10.158
100,100,0.0,50,2.6,90,0.3,250,7.589,8.697,11.085
100,100,0.0,50,2.6,90,0.35,250,8.11,8.94,11.922
100,100,0.0,50,2.6,90,0.4,250,7.819,9.122,12.7
100,100,0.0,50,2.6,90,0.45,250,8.428,9.262,13.436
100,100,0.0,50,2.6,90,0.5,250,9.302,9.374,14.141
100,100,0.0,50,2.6,90,0.55,250,8.25,9.463,14.823
100,100,0.0,50,2.6,90,0.6,250,8.55,9.537,15.485
100,100,0.0,50,2.7,90,0.2,250,6.528,7.909,9.174
100,100,0.0,50,2.7,90,0.25,250,7.353,8.397,10.251
100,100,0.0,50,2.7,90,0.3,250,7.729,8.729,11.184
100,100,0.0,50,2.7,90,0.35,250,7.882,8.967,12.029
100,100,0.0,50,2.7,90,0.4,250,7.942,9.145,12.814
100,100,0.0,50,2.7,90,0.45,250,8.581,9.283,13.559
100,100,0.0,50,2.7,90,0.5,250,9.103,9.392,14.272
100,100,0.0,50,2.7,90,0.55,250,8.383,9.48,14.963
100,100,0.0,50,2.7,90,0.6,250,8.655,9.552,15.635
100,100,0.0,50,2.8,90,0.2,250,6.478,7.952,9.26
100,100,0.0,50,2.8,90,0.25,250,7.426,8.433,10.342
100,100,0.0,50,2.8,90,0.3,250,7.799,8.759,11.281
100,100,0.0,50,2.8,90,0.35,250,7.918,8.993,12.132
100,100,0.0,50,2.8,90,0.4,250,8.083,9.168,12.926
100,100,0.0,50,2.8,90,0.45,250,8.729,9.303,13.678
100,100,0.0,50,2.8,90,0.5,250,8.952,9.41,14.401
100,100,0.0,50,2.8,90,0.55,250,8.511,9.496,15.1
100,100,0.0,50,2.8,90,0.6,250,8.773,9.566,15.78
100,100,0.0,50,2.9,90,0.2,250,6.547,7.994,9.343
100,100,0.0,50,2.9,90,0.25,250,7.552,8.467,10.43
100,100,0.0,50,2.9,90,0.3,250,7.933,8.787,11.375
100,100,0.0,50,2.9,90,0.35,250,7.978,9.017,12.233
100,100,0.0,50,2.9,90,0.4,250,8.221,9.189,13.035
100,100,0.0,50,2.9,90,0.45,250,8.874,9.322,13.795
100,100,0.0,50,2.9,90,0.5,250,9.098,9.426,14.526
100,100,0.0,50,2.9,90,0.55,250,8.322,9.511,15.234
100,100,0.0,50,2.9,90,0.6,250,8.904,9.58,15.923
100,100,0.0,50,3.0,90,0.2,250,6.611,8.033,9.424
100,100,0.0,50,3.0,90,0.25,250,7.606,8.499,10.515
100,100,0.0,50,3.0,90,0.3,250,7.939,8.814,11.466
100,100,0.0,50,3.0,90,0.35,250,7.881,9.04,12.332
100,100,0.0,50,3.0,90,0.4,250,8.355,9.209,13.141
100,100,0.0,50,3.0,90,0.45,250,9.016,9.339,13.909
100,100,0.0,50,3.0,90,0.5,250,9.242,9.442,14.648
100,100,0.0,50,3.0,90,0.55,250,8.441,9.525,15.365
100,100,0.0,50,3.0,90,0.6,250,9.031,9.592,16.062
100,100,0.0,50,3.1,90,0.2,250,6.714,8.07,9.502
100,100,0.0,50,3.1,90,0.25,250,7.532,8.53,10.598
100,100,0.0,50,3.1,90,0.3,250,7.612,8.84,11.555
100,100,0.0,50,3.1,90,0.35,250,8.008,9.062,12.428
100,100,0.0,50,3.1,90,0.4,250,8.191,9.228,13.244
100,100,0.0,50,3.1,90,0.45,250,9.154,9.356,14.021
100,100,0.0,50,3.1,90,0.5,250,8.199,9.457,14.768
100,100,0.0,50,3.1,90,0.55,250,8.556,9.538,15.493
100,100,0.0,50,3.1,90,0.6,250,9.13,9.604,16.199
100,100,0.0,50,3.2,90,0.2,250,6.818,8.106,9.578
100,100,0.0,50,3.2,90,0.25,250,7.605,8.559,10.679
100,100,0.0,50,3.2,90,0.3,250,7.729,8.865,11.642
100,100,0.0,50,3.2,90,0.35,250,8.132,9.083,12.522
100,100,0.0,50,3.2,90,0.4,250,8.317,9.246,13.346
100,100,0.0,50,3.2,90,0.45,250,9.289,9.372,14.13
100,100,0.0,50,3.2,90,0.5,250,8.31,9.471,14.886
100,100,0.0,50,3.2,90,0.55,250,8.64,9.551,15.618
100,100,0.0,50,3.2,90,0.6,250,9.253,9.616,16.332
100,100,0.0,50,3.3,90,0.2,250,6.92,8.14,9.652
100,100,0.0,50,3.3,90,0.25,250,7.718,8.587,10.757
100,100,0.0,50,3.3,90,0.3,250,7.844,8.888,11.727
100,100,0.0,50,3.3,90,0.35,250,7.712,9.103,12.614
100,100,0.0,50,3.3,90,0.4,250,8.44,9.264,13.445
100,100,0.0,50,3.3,90,0.45,250,9.061,9.387,14.237
100,100,0.0,50,3.3,90,0.5,250,8.418,9.484,15.001
100,100,0.0,50,3.3,90,0.55,250,8.736,9.563,15.741
100,100,0.0,50,3.3,90,0.6,250,9.372,9.626,16.463
100,100,0.0,50,3.4,90,0.2,250,7.021,8.173,9.724
100,100,0.0,50,3.4,90,0.25,250,7.751,8.613,10.834
100,100,0.0,50,3.4,90,0.3,250,7.956,8.91,11.81
100,100,0.0,50,3.4,90,0.35,250,7.824,9.122,12.703
100,100,0.0,50,3.4,90,0.4,250,8.56,9.28,13.542
100,100,0.0,50,3.4,90,0.45,250,8.883,9.402,14.342
100,100,0.0,50,3.4,90,0.5,250,8.524,9.497,15.113
100,100,0.0,50,3.4,90,0.55,250,8.848,9.574,15.862
100,100,0.0,50,3.4,90,0.6,250,9.488,9.637,16.592
100,100,0.0,50,3.5,90,0.2,250,6.815,8.204,9.794
100,100,0.0,50,3.5,90,0.25,250,7.861,8.639,10.909
100,100,0.0,50,3.5,90,0.3,250,8.067,8.932,11.891
100,100,0.0,50,3.5,90,0.35,250,7.933,9.141,12.791
100,100,0.0,50,3.5,90,0.4,250,8.678,9.296,13.637
100,100,0.0,50,3.5,90,0.45,250,9.003,9.416,14.445
100,100,0.0,50,3.5,90,0.5,250,8.313,9.51,15.224
100,100,0.0,50,3.5,90,0.55,250,8.956,9.585,15.98
100,100,0.0,50,3.5,90,0.6,250,8.808,9.647,16.718
100,100,0.0,50,3.6,90,0.2,250,6.909,8.235,9.862
100,100,0.0,50,3.6,90,0.25,250,7.656,8.664,10.982
100,100,0.0,50,3.6,90,0.3,250,7.805,8.952,11.97
100,100,0.0,50,3.6,90,0.35,250,8.022,9.158,12.877
100,100,0.0,50,3.6,90,0.4,250,8.794,9.311,13.731
100,100,0.0,50,3.6,90,0.45,250,9.122,9.429,14.546
100,100,0.0,50,3.6,90,0.5,250,8.412,9.521,15.332
100,100,0.0,50,3.6,90,0.55,250,9.062,9.595,16.097
100,100,0.0,50,3.6,90,0.6,250,8.909,9.656,16.842
