S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent
110,100,0.1,50,0.2,117,0.2,250,2.9472860830880117,2.4604,2.9679,-6.3636
110,100,0.1,50,0.2,117,0.3,250,1.3536321331376253,0.9993,1.3705,-6.3636
110,100,0.1,50,0.2,117,0.4,250,0.7291166202546636,0.4785,0.7424,-6.3636
110,100,0.1,50,0.2,117,0.5,250,0.44249902231265337,0.2604,0.4543,-6.3636
110,100,0.1,50,0.2,117,0.6,250,0.29328034055304664,0.1557,0.3039,-6.3636
110,100,0.1,50,0.6,117,0.2,250,0.9088529069684855,0.6275,0.9235,-6.3636
110,100,0.1,50,0.6,117,0.3,250,0.3844588649672982,0.2202,0.3959,-6.3636
110,100,0.1,50,0.6,117,0.4,250,0.20376335028334608,0.0986,0.2138,-6.3636
110,100,0.1,50,0.6,117,0.5,250,0.12544216203232675,0.0517,0.1339,-6.3636
110,100,0.1,50,0.6,117,0.6,250,0.08515930107794036,0.0302,0.0924,-6.3636
110,100,0.1,50,1.0,117,0.2,250,0.4797074924098609,0.2942,0.492,-6.3636
110,100,0.1,50,1.0,117,0.3,250,0.20703204689563423,0.1015,0.2165,-6.3636
110,100,0.1,50,1.0,117,0.4,250,0.11239564640561074,0.045,0.1204,-6.3636
110,100,0.1,50,1.0,117,0.5,250,0.07109667893028501,0.0234,0.0775,-6.3636
110,100,0.1,50,1.0,117,0.6,250,0.04866864475485693,0.0136,0.0549,-6.3636
110,100,0.1,50,1.4,117,0.2,250,0.30517067480189464,0.1713,0.3163,-6.3636
110,100,0.1,50,1.4,117,0.3,250,0.13679640408394983,0.0595,0.1447,-6.3636
110,100,0.1,50,1.4,117,0.4,250,0.07554089750463831,0.0263,0.0828,-6.3636
110,100,0.1,50,1.4,117,0.5,250,0.048646285641932345,0.0137,0.0545,-6.3636
110,100,0.1,50,1.4,117,0.6,250,0.03423559990690249,0.0079,0.0393,-6.3636
110,100,0.1,50,1.8,117,0.2,250,0.2140648022567472,0.1116,0.2238,-6.3636
110,100,0.1,50,1.8,117,0.3,250,0.09960100766479123,0.0393,0.1067,-6.3636
110,100,0.1,50,1.8,117,0.4,250,0.05660341778713034,0.0174,0.0626,-6.3636
110,100,0.1,50,1.8,117,0.5,250,0.03689664386662814,0.009,0.042,-6.3636
110,100,0.1,50,1.8,117,0.6,250,0.025874046364144743,0.0052,0.0308,-6.3636
110,100,0.1,50,2.2,117,0.2,250,0.15974067067633985,0.0779,0.1678,-6.3636
110,100,0.1,50,2.2,117,0.3,250,0.07703739108173922,0.0279,0.0834,-6.3636
110,100,0.1,50,2.2,117,0.4,250,0.04447892720404034,0.0124,0.0501,-6.3636
110,100,0.1,50,2.2,117,0.5,250,0.029336104341313226,0.0064,0.0342,-6.3636
110,100,0.1,50,2.2,117,0.6,250,0.020732815740823637,0.0037,0.0253,-6.3636
110,100,0.1,50,2.6,117,0.2,250,0.12363777436910572,0.0569,0.1308,-6.3636
110,100,0.1,50,2.6,117,0.3,250,0.06130815708886563,0.0208,0.0677,-6.3636
110,100,0.1,50,2.6,117,0.4,250,0.03651825652554194,0.0093,0.0416,-6.3636
110,100,0.1,50,2.6,117,0.5,250,0.024340515074370107,0.0048,0.0288,-6.3636
110,100,0.1,50,2.6,117,0.6,250,0.01733171087270779,0.0027,0.0215,-6.3636
110,100,0.1,50,3.0,117,0.2,250,0.09874817326688147,0.043,0.1048,-6.3636
110,100,0.1,50,3.0,117,0.3,250,0.05103680454332983,0.0161,0.0564,-6.3636
110,100,0.1,50,3.0,117,0.4,250,0.03091245304972505,0.0072,0.0354,-6.3636
110,100,0.1,50,3.0,117,0.5,250,0.02058506855060049,0.0037,0.0248,-6.3636
110,100,0.1,50,3.0,117,0.6,250,0.014664672632709265,0.0021,0.0187,-6.3636
110,100,0.1,50,3.4,117,0.2,250,0.07966558102591645,0.0333,0.0857,-6.3636
110,100,0.1,50,3.4,117,0.3,250,0.042934052349623206,0.0128,0.048,-6.3636
110,100,0.1,50,3.4,117,0.4,250,0.02611878291740032,0.0058,0.0306,-6.3636
110,100,0.1,50,3.4,117,0.5,250,0.017867578711382278,0.003,0.0217,-6.3636
110,100,0.1,50,3.4,117,0.6,250,0.012796667998050622,0.0017,0.0165,-6.3636
