S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent,best_beta,error_percent,q
110,100,0.1,50,3.0,116,0.2,250,0.077,0.0311,0.0821,-5.4545,0.5389,6.6743,0
110,100,0.1,50,3.0,116,0.3,250,0.0411,0.0117,0.0454,-5.4545,0.531,10.4047,0
110,100,0.1,50,3.0,116,0.4,250,0.025,0.0053,0.029,-5.4545,0.519,16.0721,0
110,100,0.1,50,3.0,116,0.5,250,0.0171,0.0027,0.0207,-5.4545,0.511,21.268,0
110,100,0.1,50,3.0,116,0.6,250,0.0124,0.0015,0.0158,-5.4545,0.501,27.5572,0
110,100,0.1,50,3.4,116,0.2,250,0.0625,0.0241,0.0673,-5.4545,0.531,7.6155,0
110,100,0.1,50,3.4,116,0.3,250,0.0348,0.0093,0.0387,-5.4545,0.5309,11.1018,0
110,100,0.1,50,3.4,116,0.4,250,0.0217,0.0042,0.0253,-5.4545,0.5209,16.6656,0
110,100,0.1,50,3.4,116,0.5,250,0.0147,0.0022,0.0182,-5.4545,0.5089,23.553,0
110,100,0.1,50,3.4,116,0.6,250,0.0106,0.0012,0.014,-5.4545,0.4989,31.6534,0
110,100,0.1,50,3.8,116,0.2,250,0.0518,0.0191,0.0561,-5.4545,0.531,8.387,0
110,100,0.1,50,3.8,116,0.3,250,0.0298,0.0075,0.0336,-5.4545,0.5289,12.8648,0
110,100,0.1,50,3.8,116,0.4,250,0.0187,0.0034,0.0223,-5.4545,0.511,19.2687,0
110,100,0.1,50,3.8,116,0.5,250,0.0127,0.0018,0.0162,-5.4545,0.499,27.5426,0
110,100,0.1,50,3.8,116,0.6,250,0.0093,0.001,0.0126,-5.4545,0.49,35.635,0
110,100,0.1,50,4.2,116,0.2,250,0.0436,0.0153,0.0473,-5.4545,0.531,8.4978,0
110,100,0.1,50,4.2,116,0.3,250,0.0257,0.0062,0.0294,-5.4545,0.521,14.2288,0
110,100,0.1,50,4.2,116,0.4,250,0.0167,0.0028,0.0199,-5.4545,0.5189,18.9093,0
110,100,0.1,50,4.2,116,0.5,250,0.0116,0.0015,0.0146,-5.4545,0.5089,26.1734,0
110,100,0.1,50,4.2,116,0.6,250,0.0084,0.0008,0.0114,-5.4545,0.491,36.2089,0
110,100,0.1,50,4.6,116,0.2,250,0.0368,0.0125,0.0404,-5.4545,0.5299,9.7513,0
110,100,0.1,50,4.6,116,0.3,250,0.0227,0.0051,0.026,-5.4545,0.521,14.4793,0
110,100,0.1,50,4.6,116,0.4,250,0.0147,0.0024,0.0179,-5.4545,0.511,21.3798,0
110,100,0.1,50,4.6,116,0.5,250,0.0102,0.0012,0.0133,-5.4545,0.499,29.9911,0
110,100,0.1,50,4.6,116,0.6,250,0.0075,0.0007,0.0104,-5.4545,0.4889,38.9582,0
110,100,0.1,50,5.0,116,0.2,250,0.0315,0.0102,0.0347,-5.4545,0.5289,10.1701,0
110,100,0.1,50,5.0,116,0.3,250,0.02,0.0043,0.0232,-5.4545,0.5199,15.8648,0
110,100,0.1,50,5.0,116,0.4,250,0.0132,0.002,0.0162,-5.4545,0.5089,22.9214,0
110,100,0.1,50,5.0,116,0.5,250,0.0092,0.001,0.0121,-5.4545,0.4989,31.3462,0
110,100,0.1,50,5.0,116,0.6,250,0.0067,0.0006,0.0095,-5.4545,0.481,42.7994,0
110,100,0.1,50,0.2,117,0.2,250,2.9473,2.4604,2.9679,-6.3636,0.5599,0.6994,0
110,100,0.1,50,0.2,117,0.3,250,1.3536,0.9993,1.3705,-6.3636,0.5589,1.2461,0
110,100,0.1,50,0.2,117,0.4,250,0.7291,0.4785,0.7424,-6.3636,0.5589,1.8218,0
110,100,0.1,50,0.2,117,0.5,250,0.4425,0.2604,0.4543,-6.3636,0.551,2.6669,0
110,100,0.1,50,0.2,117,0.6,250,0.2933,0.1557,0.3039,-6.3636,0.5489,3.621,0
110,100,0.1,50,0.6,117,0.2,250,0.9089,0.6275,0.9235,-6.3636,0.5589,1.6116,0
110,100,0.1,50,0.6,117,0.3,250,0.3845,0.2202,0.3959,-6.3636,0.55,2.9759,0
110,100,0.1,50,0.6,117,0.4,250,0.2038,0.0986,0.2138,-6.3636,0.541,4.9256,0
110,100,0.1,50,0.6,117,0.5,250,0.1254,0.0517,0.1339,-6.3636,0.5389,6.7424,0
110,100,0.1,50,0.6,117,0.6,250,0.0852,0.0302,0.0924,-6.3636,0.531,8.5025,0
110,100,0.1,50,1.0,117,0.2,250,0.4797,0.2942,0.492,-6.3636,0.551,2.5625,0
110,100,0.1,50,1.0,117,0.3,250,0.207,0.1015,0.2165,-6.3636,0.541,4.5732,0
110,100,0.1,50,1.0,117,0.4,250,0.1124,0.045,0.1204,-6.3636,0.5389,7.1216,0
110,100,0.1,50,1.0,117,0.5,250,0.0711,0.0234,0.0775,-6.3636,0.531,9.0065,0
110,100,0.1,50,1.0,117,0.6,250,0.0487,0.0136,0.0549,-6.3636,0.521,12.8036,0
110,100,0.1,50,1.4,117,0.2,250,0.3052,0.1713,0.3163,-6.3636,0.5489,3.6469,0
110,100,0.1,50,1.4,117,0.3,250,0.1368,0.0595,0.1447,-6.3636,0.5409,5.7776,0
110,100,0.1,50,1.4,117,0.4,250,0.0755,0.0263,0.0828,-6.3636,0.5289,9.6095,0
110,100,0.1,50,1.4,117,0.5,250,0.0486,0.0137,0.0545,-6.3636,0.5289,12.0332,0
110,100,0.1,50,1.4,117,0.6,250,0.0342,0.0079,0.0393,-6.3636,0.521,14.7928,0
110,100,0.1,50,1.8,117,0.2,250,0.2141,0.1116,0.2238,-6.3636,0.541,4.5478,0
110,100,0.1,50,1.8,117,0.3,250,0.0996,0.0393,0.1067,-6.3636,0.5389,7.1274,0
110,100,0.1,50,1.8,117,0.4,250,0.0566,0.0174,0.0626,-6.3636,0.5289,10.594,0
110,100,0.1,50,1.8,117,0.5,250,0.0369,0.009,0.042,-6.3636,0.521,13.8315,0
110,100,0.1,50,1.8,117,0.6,250,0.0259,0.0052,0.0308,-6.3636,0.511,19.0382,0
110,100,0.1,50,2.2,117,0.2,250,0.1597,0.0779,0.1678,-6.3636,0.541,5.0453,0
110,100,0.1,50,2.2,117,0.3,250,0.077,0.0279,0.0834,-6.3636,0.531,8.2591,0
110,100,0.1,50,2.2,117,0.4,250,0.0445,0.0124,0.0501,-6.3636,0.521,12.6376,0
110,100,0.1,50,2.2,117,0.5,250,0.0293,0.0064,0.0342,-6.3636,0.5189,16.5799,0
110,100,0.1,50,2.2,117,0.6,250,0.0207,0.0037,0.0253,-6.3636,0.5089,22.0288,0
110,100,0.1,50,2.6,117,0.2,250,0.1236,0.0569,0.1308,-6.3636,0.5389,5.7929,0
110,100,0.1,50,2.6,117,0.3,250,0.0613,0.0208,0.0677,-6.3636,0.5289,10.4258,0
110,100,0.1,50,2.6,117,0.4,250,0.0365,0.0093,0.0416,-6.3636,0.521,13.9156,0
110,100,0.1,50,2.6,117,0.5,250,0.0243,0.0048,0.0288,-6.3636,0.5189,18.3212,0
110,100,0.1,50,2.6,117,0.6,250,0.0173,0.0027,0.0215,-6.3636,0.501,24.0501,0
110,100,0.1,50,3.0,117,0.2,250,0.0987,0.043,0.1048,-6.3636,0.5389,6.1285,0
110,100,0.1,50,3.0,117,0.3,250,0.051,0.0161,0.0564,-6.3636,0.5289,10.5085,0
110,100,0.1,50,3.0,117,0.4,250,0.0309,0.0072,0.0354,-6.3636,0.521,14.517,0
110,100,0.1,50,3.0,117,0.5,250,0.0206,0.0037,0.0248,-6.3636,0.511,20.4757,0
110,100,0.1,50,3.0,117,0.6,250,0.0147,0.0021,0.0187,-6.3636,0.499,27.5173,0
110,100,0.1,50,3.4,117,0.2,250,0.0797,0.0333,0.0857,-6.3636,0.531,7.5747,0
110,100,0.1,50,3.4,117,0.3,250,0.0429,0.0128,0.048,-6.3636,0.521,11.7994,0
110,100,0.1,50,3.4,117,0.4,250,0.0261,0.0058,0.0306,-6.3636,0.511,17.1571,0
110,100,0.1,50,3.4,117,0.5,250,0.0179,0.003,0.0217,-6.3636,0.51,21.449,0
110,100,0.1,50,3.4,117,0.6,250,0.0128,0.0017,0.0165,-6.3636,0.4989,28.9398,0
110,100,0.1,50,3.8,117,0.2,250,0.0659,0.0264,0.0712,-6.3636,0.53,8.1153,0
110,100,0.1,50,3.8,117,0.3,250,0.0373,0.0103,0.0414,-6.3636,0.5299,11.0759,0
110,100,0.1,50,3.8,117,0.4,250,0.0226,0.0047,0.0269,-6.3636,0.5099,19.2211,0
110,100,0.1,50,3.8,117,0.5,250,0.0155,0.0024,0.0193,-6.3636,0.501,24.5858,0
110,100,0.1,50,3.8,117,0.6,250,0.0111,0.0014,0.0147,-6.3636,0.491,32.5944,0
110,100,0.1,50,4.2,117,0.2,250,0.055,0.0212,0.06,-6.3636,0.5289,9.1124,0
110,100,0.1,50,4.2,117,0.3,250,0.0318,0.0085,0.0362,-6.3636,0.5199,13.9676,0
110,100,0.1,50,4.2,117,0.4,250,0.02,0.0039,0.0239,-6.3636,0.511,19.4595,0
110,100,0.1,50,4.2,117,0.5,250,0.0137,0.002,0.0173,-6.3636,0.501,26.1958,0
110,100,0.1,50,4.2,117,0.6,250,0.0097,0.0011,0.0133,-6.3636,0.481,37.3398,0
110,100,0.1,50,4.6,117,0.2,250,0.0469,0.0172,0.051,-6.3636,0.53,8.8309,0
110,100,0.1,50,4.6,117,0.3,250,0.0278,0.0071,0.0319,-6.3636,0.5189,14.7857,0
110,100,0.1,50,4.6,117,0.4,250,0.0178,0.0033,0.0215,-6.3636,0.51,20.7966,0
110,100,0.1,50,4.6,117,0.5,250,0.0122,0.0017,0.0156,-6.3636,0.4999,27.4305,0
110,100,0.1,50,4.6,117,0.6,250,0.0089,0.0009,0.0121,-6.3636,0.4899,36.1873,0
110,100,0.1,50,5.0,117,0.2,250,0.0399,0.0142,0.0438,-6.3636,0.5289,9.8794,0
110,100,0.1,50,5.0,117,0.3,250,0.0245,0.006,0.0284,-6.3636,0.5189,15.8454,0
110,100,0.1,50,5.0,117,0.4,250,0.0159,0.0028,0.0194,-6.3636,0.5089,22.3484,0
110,100,0.1,50,5.0,117,0.5,250,0.011,0.0014,0.0142,-6.3636,0.4989,29.545,0
110,100,0.1,50,5.0,117,0.6,250,0.008,0.0008,0.011,-6.3636,0.4889,37.526,0
110,100,0.1,50,0.2,118,0.2,250,3.5641,3.0493,3.59,-7.2727,0.5589,0.7273,0
110,100,0.1,50,0.2,118,0.3,250,1.6796,1.2796,1.6978,-7.2727,0.5589,1.0862,0
110,100,0.1,50,0.2,118,0.4,250,0.9112,0.6224,0.927,-7.2727,0.5589,1.7362,0
110,100,0.1,50,0.2,118,0.5,250,0.554,0.3415,0.5679,-7.2727,0.551,2.5123,0
110,100,0.1,50,0.2,118,0.6,250,0.3679,0.2051,0.3791,-7.2727,0.551,3.0494,0
110,100,0.1,50,0.6,118,0.2,250,1.1418,0.8173,1.1595,-7.2727,0.5589,1.546,0
110,100,0.1,50,0.6,118,0.3,250,0.4831,0.2901,0.4966,-7.2727,0.55,2.785,0
110,100,0.1,50,0.6,118,0.4,250,0.2547,0.1305,0.2665,-7.2727,0.541,4.6327,0
110,100,0.1,50,0.6,118,0.5,250,0.1562,0.0686,0.1655,-7.2727,0.539,5.9245,0
110,100,0.1,50,0.6,118,0.6,250,0.1047,0.0401,0.1134,-7.2727,0.531,8.3152,0
110,100,0.1,50,1.0,118,0.2,250,0.6067,0.3882,0.621,-7.2727,0.551,2.3556,0
110,100,0.1,50,1.0,118,0.3,250,0.2598,0.1347,0.2707,-7.2727,0.541,4.1818,0
110,100,0.1,50,1.0,118,0.4,250,0.14,0.0598,0.1489,-7.2727,0.5389,6.3541,0
110,100,0.1,50,1.0,118,0.5,250,0.087,0.0311,0.0948,-7.2727,0.5309,8.9281,0
110,100,0.1,50,1.0,118,0.6,250,0.0594,0.018,0.0665,-7.2727,0.521,12.0169,0
110,100,0.1,50,1.4,118,0.2,250,0.3865,0.2273,0.3993,-7.2727,0.5489,3.3246,0
110,100,0.1,50,1.4,118,0.3,250,0.17,0.0791,0.1801,-7.2727,0.5389,5.9141,0
110,100,0.1,50,1.4,118,0.4,250,0.0934,0.0351,0.1016,-7.2727,0.529,8.8323,0
110,100,0.1,50,1.4,118,0.5,250,0.0595,0.0182,0.0661,-7.2727,0.5289,11.0467,0
110,100,0.1,50,1.4,118,0.6,250,0.041,0.0105,0.0472,-7.2727,0.5189,14.9908,0
110,100,0.1,50,1.8,118,0.2,250,0.2714,0.1486,0.2822,-7.2727,0.541,3.9775,0
110,100,0.1,50,1.8,118,0.3,250,0.1235,0.0524,0.1322,-7.2727,0.531,7.0862,0
110,100,0.1,50,1.8,118,0.4,250,0.0694,0.0232,0.0764,-7.2727,0.5289,10.0526,0
110,100,0.1,50,1.8,118,0.5,250,0.0446,0.012,0.0506,-7.2727,0.521,13.4355,0
110,100,0.1,50,1.8,118,0.6,250,0.0314,0.0069,0.0367,-7.2727,0.5189,16.7337,0
110,100,0.1,50,2.2,118,0.2,250,0.2011,0.1039,0.2112,-7.2727,0.5389,5.0431,0
110,100,0.1,50,2.2,118,0.3,250,0.0954,0.0373,0.1029,-7.2727,0.531,7.9044,0
110,100,0.1,50,2.2,118,0.4,250,0.055,0.0166,0.0608,-7.2727,0.529,10.5189,0
110,100,0.1,50,2.2,118,0.5,250,0.0353,0.0086,0.0409,-7.2727,0.5189,15.833,0
110,100,0.1,50,2.2,118,0.6,250,0.0248,0.0049,0.03,-7.2727,0.5089,20.875,0
110,100,0.1,50,2.6,118,0.2,250,0.1558,0.0761,0.1643,-7.2727,0.5389,5.4769,0
110,100,0.1,50,2.6,118,0.3,250,0.0758,0.0278,0.0832,-7.2727,0.5289,9.7248,0
110,100,0.1,50,2.6,118,0.4,250,0.0445,0.0124,0.0502,-7.2727,0.521,12.8027,0
